cement,fly_ash,water,superplasticizer,fine_aggregate,coarse_aggregate,age,compressive_strength
165.7,78.5,210.0,18.8,726.3,975.3,28,30.44
302.3,183.1,175.8,14.6,665.4,965.3,90,55.6
497.3,99.4,164.1,8.8,829.6,1086.2,56,68.23
462.1,26.9,146.3,17.5,602.7,1061.0,180,64.87
412.0,73.1,145.0,10.5,887.9,919.5,365,64.66
461.8,13.4,210.2,14.9,813.9,1080.2,28,49.34
462.7,40.4,134.3,16.4,887.0,1098.8,180,67.45
331.6,3.5,130.3,15.0,835.3,853.7,7,40.28
260.6,90.7,141.2,5.8,556.8,1003.9,365,46.19
420.2,126.9,141.0,2.4,710.6,899.9,7,49.57
381.6,68.7,218.8,4.8,568.0,1058.7,180,53.85
280.8,84.1,167.8,10.1,827.3,883.6,28,35.59
183.1,191.8,238.8,10.1,733.7,1035.0,365,45.92
411.4,150.4,136.5,11.7,605.4,889.3,7,49.67
241.9,108.2,198.4,7.9,871.8,978.9,28,39.47
477.9,56.9,173.8,15.7,546.1,1132.0,365,67.25
234.3,179.4,167.2,18.3,725.5,933.5,3,37.44
193.0,47.0,225.0,4.9,788.4,1106.5,14,22.0
440.9,65.1,237.1,14.7,523.5,1145.4,3,48.6
203.6,181.8,224.7,13.6,739.1,1106.2,14,36.65
212.7,105.9,143.1,10.5,826.4,858.1,28,37.06
359.8,148.5,146.5,3.8,527.0,1086.9,56,47.88
456.1,118.1,198.7,15.9,704.9,811.3,14,53.56
218.8,130.7,154.7,19.2,603.4,937.7,7,34.86
258.6,59.9,208.2,14.4,765.2,1104.8,7,33.89
422.1,48.3,188.0,18.4,547.5,1041.1,365,64.21
490.1,64.5,186.1,19.7,874.8,986.5,365,76.81
325.3,31.1,219.4,7.0,857.9,935.8,7,35.11
200.4,174.9,205.3,12.8,574.4,1084.3,7,29.72
154.9,56.6,123.2,9.5,629.3,1048.3,3,20.15
230.4,112.3,125.9,19.7,735.1,963.9,365,55.03
196.1,158.4,192.2,1.9,787.2,1112.4,90,39.35
387.2,156.8,178.3,8.2,677.1,880.5,180,66.51
192.6,87.7,151.2,17.5,562.5,859.6,14,31.17
327.2,95.3,170.2,5.7,541.7,1025.0,90,48.87
393.0,198.9,210.9,15.8,899.9,1140.2,3,53.11
353.4,134.9,219.2,7.7,682.1,886.5,90,52.69
219.9,162.9,187.3,19.6,849.0,887.4,56,44.56
431.4,180.5,166.2,17.7,693.0,848.8,14,55.12
400.4,157.5,152.5,6.0,868.9,1101.2,90,59.23
408.6,37.0,182.6,15.4,535.1,879.2,90,53.95
195.9,112.4,157.8,6.7,545.6,976.1,28,28.01
193.3,20.4,187.7,12.1,871.9,1146.8,7,21.48
474.6,130.6,201.2,13.2,879.0,804.2,3,51.38
289.2,191.1,127.9,16.6,625.9,994.8,365,62.98
255.3,102.5,120.1,0.5,642.1,979.3,14,37.45
321.0,86.6,145.5,4.4,681.0,1082.6,14,39.46
382.0,7.2,227.3,14.2,666.5,924.3,90,51.08
484.5,192.0,197.6,11.3,576.0,943.6,14,55.61
250.3,20.6,140.6,9.9,859.4,858.8,28,35.67
473.7,8.2,226.8,1.1,601.3,1059.3,90,56.95
158.7,49.2,176.4,7.0,782.1,1074.6,56,30.01
344.3,13.1,177.1,17.3,526.9,847.8,90,48.51
371.9,91.0,232.3,0.6,515.5,937.7,3,39.29
187.1,103.2,127.1,7.9,761.5,1112.5,28,30.73
199.1,62.5,145.8,18.9,635.6,800.9,28,32.31
296.7,10.2,190.3,1.0,762.2,904.6,90,41.84
488.2,22.3,143.5,15.0,537.6,994.3,7,60.51
358.6,76.9,201.5,5.2,879.9,916.9,7,43.06
476.6,12.1,145.7,17.3,799.4,895.2,180,68.3
431.5,139.6,131.9,14.9,850.5,961.0,90,59.81
313.6,41.4,144.8,17.7,554.6,863.5,180,47.38
424.7,60.4,170.7,4.3,628.1,985.4,14,49.55
156.2,78.8,141.1,10.6,647.3,1047.3,365,39.02
188.2,83.3,136.2,15.6,714.9,1001.4,14,30.36
440.3,0.3,223.2,4.9,618.7,832.6,90,53.43
428.9,22.4,158.4,4.6,524.3,1095.5,7,46.13
231.4,172.6,163.3,0.5,647.6,861.2,365,50.11
335.8,0.2,126.6,19.2,601.8,1067.7,14,46.34
362.1,101.6,162.9,14.2,654.4,926.2,180,62.96
453.7,97.9,151.8,12.7,578.8,1074.0,14,57.16
361.1,66.6,193.3,14.9,604.8,872.2,180,56.15
294.4,86.3,144.6,10.6,750.8,865.3,28,47.71
281.0,156.1,226.6,9.5,655.3,974.0,3,32.0
299.1,168.2,231.6,9.0,638.2,811.5,7,47.52
378.2,52.1,132.0,12.8,713.6,878.9,90,57.71
453.6,64.5,132.9,4.0,808.7,1053.4,7,52.65
308.9,48.5,133.8,17.8,651.5,1093.1,14,46.6
236.7,96.0,194.3,16.2,735.0,828.3,56,47.51
232.8,136.7,134.6,7.0,886.5,1108.7,14,41.03
411.1,45.7,222.3,11.6,708.8,1079.1,7,41.87
435.8,66.1,210.5,2.8,863.9,1104.4,56,59.7
186.8,186.1,218.4,19.4,817.5,1044.4,90,43.77
173.3,9.7,183.1,18.1,523.5,1036.0,90,30.46
358.1,92.2,239.6,18.4,671.6,983.8,365,56.88
201.2,142.3,125.3,6.6,779.3,1028.5,3,31.65
438.6,30.1,168.2,3.4,894.7,1121.7,28,51.32
258.6,9.5,158.9,4.2,683.4,835.2,7,28.32
200.4,27.6,233.8,1.8,537.1,910.5,365,30.37
472.3,183.8,189.2,2.4,724.8,825.4,56,67.98
207.9,1.9,216.7,1.4,550.6,1130.7,3,19.4
249.7,37.7,140.4,19.8,800.6,955.8,90,46.74
203.8,6.3,237.4,1.5,703.1,1036.4,3,12.48
190.4,22.1,179.8,2.7,789.4,1094.4,14,21.21
157.4,124.0,179.2,16.5,847.7,1146.9,90,42.42
169.4,48.3,236.5,11.6,751.6,856.6,56,24.86
211.1,113.8,165.7,15.5,745.0,1079.8,180,45.35
168.7,118.0,167.7,12.6,801.8,1110.6,56,39.76
356.9,169.9,190.2,17.6,837.0,817.1,180,61.11
388.3,0.9,135.4,12.8,847.6,1063.9,56,54.47
287.8,170.7,158.5,10.4,514.6,924.2,3,33.28
261.3,123.8,143.2,14.3,722.5,1027.0,3,39.09
326.6,32.5,132.4,8.9,586.5,979.9,180,57.64
456.3,154.6,223.9,6.9,844.1,890.9,3,53.01
447.9,171.1,190.7,9.4,759.4,847.3,28,64.28
165.2,50.9,163.0,3.4,668.1,840.9,3,13.65
213.5,183.8,169.0,15.9,575.2,836.2,14,39.51
232.9,90.9,171.8,5.2,635.6,1023.2,56,35.07
237.3,120.7,196.0,3.1,781.5,923.0,7,29.93
349.9,196.9,231.2,4.9,581.7,875.8,28,50.85
295.7,72.3,231.9,16.8,537.4,1042.2,365,52.84
167.2,162.6,167.0,6.6,855.2,1040.4,3,22.01
280.8,63.7,159.5,13.7,805.7,988.7,3,31.51
333.3,159.8,174.1,17.1,579.9,1127.2,14,45.99
185.6,120.1,188.2,1.6,616.9,934.9,180,38.0
441.7,43.3,175.4,15.3,888.8,1092.6,28,64.71
168.2,82.8,199.1,6.2,783.3,826.3,90,35.03
473.7,63.5,186.5,4.3,744.2,1058.9,3,43.08
184.7,15.6,158.5,13.8,623.1,1146.0,90,37.75
445.3,6.0,161.5,18.2,619.7,1096.3,3,52.45
465.9,69.3,165.4,5.9,515.8,1002.9,90,56.07
492.8,3.8,131.4,11.4,791.4,1019.4,7,54.55
430.7,33.1,139.9,5.8,517.3,923.7,180,62.68
422.8,145.0,206.8,11.1,501.9,1037.8,14,55.26
374.9,141.6,166.7,12.4,791.8,1069.6,7,45.93
422.6,147.7,145.7,12.2,879.5,1149.4,14,59.8
197.1,63.4,187.5,12.5,802.6,972.4,3,17.92
337.6,178.0,210.7,2.7,688.7,821.5,7,40.86
330.0,118.8,150.9,13.9,694.4,1008.6,56,56.55
450.2,25.2,219.2,13.5,674.5,841.7,14,52.03
312.0,28.7,231.3,13.7,629.9,885.7,14,36.24
284.8,138.6,191.7,1.5,708.7,915.1,180,50.49
373.8,34.6,200.3,8.9,672.5,1055.9,3,42.16
243.3,101.5,126.3,8.2,739.3,864.3,28,43.97
198.9,198.4,233.5,1.7,859.2,858.0,7,31.55
317.3,0.8,167.1,4.4,898.0,815.7,28,42.95
295.9,3.3,230.9,8.8,531.5,1105.6,14,34.73
231.4,198.6,189.5,14.9,653.9,1042.7,3,36.54
278.6,116.9,120.6,4.7,572.3,814.0,3,34.24
278.2,25.4,124.6,16.6,640.8,809.9,180,49.22
264.6,179.5,201.7,10.9,615.0,995.5,3,32.08
282.8,176.1,187.5,15.2,569.8,898.9,180,51.33
390.0,107.2,123.2,9.5,805.6,1008.9,365,64.3
253.9,124.4,209.2,10.0,698.5,952.1,28,40.28
482.1,54.6,222.3,12.4,867.7,1123.2,14,61.82
470.7,10.1,179.6,18.6,513.0,900.7,180,65.72
318.3,118.9,175.9,9.8,526.8,1037.7,365,59.3
264.9,59.0,120.7,10.6,661.3,818.9,3,36.15
337.4,132.7,214.4,12.0,532.1,1134.6,365,57.93
447.0,167.2,159.7,14.8,605.1,1143.3,365,74.63
378.4,3.6,225.5,1.4,894.4,1058.7,7,37.34
431.5,119.1,164.8,10.3,583.6,962.8,3,53.05
336.5,46.3,187.8,9.6,579.2,877.0,90,50.27
371.5,174.8,152.4,18.4,729.5,1084.4,3,47.03
250.9,50.7,139.3,9.9,699.2,1057.7,56,41.94
407.2,122.2,213.0,9.4,732.2,877.7,3,50.74
220.8,110.7,179.6,19.2,650.7,957.9,90,44.19
393.2,79.2,184.4,9.0,830.7,962.0,7,48.28
451.3,135.5,235.8,3.6,555.4,1089.2,3,48.81
196.2,145.2,235.6,4.3,671.4,1039.3,3,20.35
365.0,113.4,222.7,1.9,775.9,1025.1,7,43.19
183.3,151.7,142.5,0.0,847.3,1027.4,56,32.15
404.0,196.7,191.3,8.6,647.8,894.7,3,46.49
179.6,83.9,225.4,15.4,727.1,930.1,180,40.65
477.6,102.9,164.9,14.7,527.7,816.0,56,65.23
198.1,2.5,132.1,0.6,568.1,1075.4,14,22.28
485.6,159.2,217.3,11.4,527.7,951.5,365,73.57
430.3,104.0,177.8,3.1,791.2,953.4,90,58.47
357.8,81.6,187.7,18.8,615.2,885.9,90,56.01
423.9,18.8,237.9,3.3,789.5,873.3,7,44.61
428.3,177.9,192.9,12.5,526.6,1005.7,90,61.35
481.1,79.0,171.0,6.5,845.0,881.4,56,62.05
238.7,136.5,164.4,12.8,834.2,822.5,365,51.06
356.5,29.9,170.1,8.2,535.6,1068.6,28,40.71
183.3,192.3,134.2,15.2,509.5,931.8,90,41.77
365.7,35.7,215.4,4.6,522.5,933.1,14,45.07
210.0,39.9,220.5,18.1,841.5,951.0,3,25.76
347.7,171.8,154.1,10.0,593.9,1085.3,7,43.1
350.4,182.5,156.5,15.1,719.3,912.3,180,57.65
313.1,42.4,224.9,17.0,670.5,1065.3,90,47.88
332.9,94.0,122.9,20.0,818.2,1128.8,14,56.12
417.4,146.7,182.5,4.5,695.6,1031.3,90,58.79
429.7,175.7,175.6,5.7,700.3,951.1,3,53.41
322.3,75.8,202.8,5.0,895.6,1061.7,3,36.68
359.9,103.4,139.6,5.3,560.1,960.3,56,52.74
475.9,148.3,200.2,11.6,832.3,945.0,56,61.54
191.9,146.2,165.2,19.9,520.7,983.8,365,52.34
191.0,156.6,194.2,19.8,691.1,911.2,180,45.49
180.7,114.0,124.8,10.5,854.5,836.5,14,35.94
380.3,20.9,175.4,12.8,766.1,945.2,180,54.62
296.5,180.8,182.7,17.2,774.1,843.3,28,50.68
421.0,173.1,145.7,18.7,605.3,943.7,180,70.37
384.9,159.6,136.8,4.1,667.4,994.9,7,47.62
266.8,20.0,142.6,10.6,646.6,1125.7,3,32.08
464.4,40.9,161.3,16.7,708.6,812.7,3,50.98
416.9,148.7,131.6,6.1,684.9,1017.5,365,64.89
244.7,4.6,233.7,8.8,630.8,960.2,3,25.57
277.5,195.8,168.6,19.7,622.2,807.1,365,62.9
260.1,75.4,217.1,19.7,600.3,887.3,90,42.67
205.2,143.9,236.9,18.1,646.0,841.5,7,33.57
201.7,177.5,129.7,16.0,560.0,875.9,180,46.71
477.6,78.9,198.2,5.4,848.8,896.1,7,49.09
303.3,63.8,224.6,6.4,740.8,940.5,7,37.51
284.2,121.7,196.1,10.9,553.5,985.2,56,40.3
405.4,116.2,171.5,11.2,777.5,800.3,14,55.37
343.5,81.8,171.7,10.1,839.1,856.7,14,44.77
477.6,120.4,124.3,12.7,595.0,832.7,7,56.95
423.1,187.1,184.2,8.2,560.2,992.4,56,61.38
317.8,93.5,239.2,15.0,503.4,915.2,3,38.05
281.7,39.3,235.0,6.7,518.9,991.9,7,26.82
495.3,75.4,124.8,6.6,804.9,877.6,56,66.24
401.2,78.8,204.7,2.5,894.9,808.5,28,49.79
482.9,26.2,156.2,3.8,518.0,1129.5,90,56.58
191.5,32.6,228.4,17.0,799.2,837.9,7,22.13
447.7,136.9,125.4,8.9,528.7,844.4,90,67.64
373.0,67.9,232.3,4.6,736.9,851.3,180,57.86
192.7,191.0,220.5,15.2,802.4,1143.4,28,41.66
355.9,48.7,134.1,11.1,643.7,1016.2,14,42.92
390.1,19.8,127.2,0.4,504.4,1013.6,56,50.53
154.3,150.7,220.2,6.3,738.1,1145.3,56,34.42
309.0,176.2,138.7,3.5,896.5,831.0,3,41.83
438.9,55.6,184.2,13.1,603.0,1141.1,56,61.41
253.4,40.4,229.9,5.5,575.8,871.4,7,26.85
310.5,37.2,188.1,1.3,549.6,1018.1,56,40.11
304.8,104.4,167.7,1.1,722.1,947.0,365,50.05
255.7,93.7,173.4,11.6,738.6,934.4,56,37.45
471.5,51.9,127.6,0.4,816.9,1125.9,180,65.07
423.5,9.0,236.3,17.0,801.2,852.2,14,50.7
188.7,96.3,157.3,3.1,857.0,1149.0,365,43.97
499.0,191.9,142.7,12.1,822.3,932.7,180,71.12
457.7,130.5,154.3,8.9,598.9,1027.1,365,71.78
249.4,99.1,235.7,8.9,722.4,1138.8,90,47.55
442.9,22.1,131.3,1.4,619.0,820.2,90,56.27
187.2,50.5,224.1,16.1,631.9,1123.0,56,31.29
499.7,59.0,204.9,17.9,872.8,998.7,365,75.28
383.0,153.0,219.6,0.2,772.8,1046.5,180,63.06
377.5,175.3,237.1,3.6,889.8,852.2,28,47.86
181.7,180.3,221.1,18.1,666.8,986.7,3,30.46
464.0,196.9,233.2,11.0,715.0,1035.7,3,51.96
160.1,196.5,135.2,3.0,694.8,959.7,7,27.25
234.3,190.6,215.5,4.1,542.9,854.2,3,29.15
200.1,14.4,185.5,13.2,594.7,885.4,7,26.73
421.9,27.6,185.2,14.5,711.1,1099.0,3,51.99
219.4,60.9,227.9,12.0,526.9,812.1,365,42.0
468.7,110.6,236.6,19.1,872.6,1048.1,3,54.24
379.7,19.4,204.6,9.9,549.5,1149.8,90,58.94
162.7,169.2,178.0,6.0,579.2,802.6,14,27.3
151.9,123.4,174.8,9.5,806.1,856.4,7,23.35
168.1,108.5,166.4,7.2,538.8,1036.0,90,29.07
362.1,33.1,163.4,4.5,860.1,821.0,365,60.11
430.5,50.7,167.0,0.9,790.3,1006.4,180,61.79
233.5,32.1,130.8,7.0,527.4,1039.4,365,51.69
447.3,170.4,129.3,14.2,776.7,1005.9,56,62.35
170.0,116.8,213.6,0.4,752.7,927.8,90,35.05
430.3,147.0,173.5,8.8,802.9,1044.0,7,53.52
474.7,59.2,231.7,12.9,831.3,1008.0,180,68.79
420.2,74.3,193.5,12.2,787.3,872.7,90,54.52
394.3,81.0,124.2,15.5,734.5,997.1,14,58.17
443.3,152.0,138.9,16.2,629.0,1108.7,14,62.67
164.1,154.5,144.7,14.2,778.9,1033.4,56,39.69
220.6,41.4,237.1,2.1,882.8,965.1,3,20.93
193.7,188.3,146.2,9.5,735.0,912.6,180,44.12
326.6,24.1,181.9,12.1,765.7,830.1,14,39.31
410.8,179.2,232.3,4.9,674.9,885.6,3,44.49
370.5,20.1,237.3,0.9,802.4,803.9,14,33.17
447.9,52.9,148.4,4.5,899.1,1145.3,180,66.07
204.3,169.3,125.9,9.1,564.2,877.9,14,39.87
407.1,35.9,138.4,8.3,581.0,1085.2,56,52.5
217.6,82.7,127.6,3.5,715.8,859.0,180,42.92
244.8,90.0,143.4,16.5,692.6,899.3,3,33.36
398.5,49.1,188.2,18.5,728.6,946.4,180,62.71
493.1,142.0,229.5,4.0,519.6,913.5,14,54.19
364.0,170.3,184.5,18.6,661.7,1079.4,90,58.43
169.1,174.9,195.1,0.4,733.2,1135.2,7,28.95
365.7,67.9,144.2,18.5,734.1,1106.4,7,48.82
164.8,106.2,216.1,19.0,762.9,853.8,180,45.26
459.5,49.7,194.1,0.2,788.1,1071.8,180,60.71
398.4,49.0,223.7,15.3,756.6,851.8,365,59.11
210.6,32.3,233.9,19.4,816.1,1119.7,90,40.3
182.1,188.0,161.7,18.1,749.9,981.3,28,42.95
214.2,177.6,130.9,19.4,715.0,917.7,7,42.05
493.0,155.5,147.1,11.0,742.5,855.0,14,65.79
